kill,28.921576896982536
father,25.21476085341215
home,20.22600852720026
meet,20.188044661318923
house,20.160068456076154
love,19.967401992803133
return,19.82840226607159
mother,19.80208360927455
family,19.06537646280441
shoot,19.04854370935272
police,18.907665866821613
life,17.945604134121535
work,17.629092965399046
show,16.900057393528456
live,16.73854112823643
car,16.61120415508478
attempt,15.952992226219022
run,15.937009962953544
money,15.82556945780699
young,15.754691945745508
men,15.711982328344035
arrive,15.448099043194869
night,15.274093314483652
wife,15.082080784765019
reveal,14.750267024203913
escape,14.733731599184186
decide,14.567196380368685
school,14.474222731327178
discover,13.767244049929426
death,13.512933776878223
fall,13.493327287618477
plan,13.340921364729956
play,13.263417337537502
lead,13.257906664796653
start,13.206040539117224
max,13.197686790978896
follow,13.131491628857745
way,13.0093373267728
town,12.998654965548349
son,12.977012585724397
friend,12.937489026531145
force,12.836096984527542
woman,12.786446203423742
learn,12.727253448107696
room,12.724794207083184
realize,12.67556440068741
die,12.63879559079484
break,12.509146607715778
murder,12.427946910962639
marry,12.21755795606882
head,12.197205108987099
story,12.16816290560524
order,12.042120963444322
old,11.99428181006366
ship,11.90294347812026
drive,11.88308684217697
friends,11.823135613500517
team,11.792583772404564
group,11.688690151416763
send,11.667506927224835
hes,11.496244673991795
children,11.470688407726605
relationship,11.443336677252333
move,11.438286976277658
job,11.429759786869763
fight,11.422248202783033
joe,11.396536192950636
michael,11.393215464273641
years,11.152748289004707
party,11.12548819533967
steal,11.052308068068605
attack,10.924599503875715
people,10.8924967934783
parent,10.888947172362098
bill,10.884147357096834
apartment,10.803364159522115
fire,10.7939516561232
husband,10.780376965513366
train,10.767991377120392
city,10.680473021883957
david,10.665597274549816
feel,10.619065269724588
open,10.57293093920176
daughter,10.533658708414142
gun,10.488396484954235
local,10.46687490244484
stop,10.432742280907885
refuse,10.34996654758828
war,10.257040578826697
lose,10.235483122484771
billy,10.20500500655164
offer,10.15765274793022
think,10.135817755414768
keep,10.008854638398924
walk,9.948010418485694
sam,9.811718755768997
dead,9.80414155057388
hand,9.751584220371473
cause,9.682193089125851
body,9.614067159338544
